           G1           G12           G32           G24           G22           G14           G11            G4           G18           G31           G17            G3           G25           G26           G29 
  24955879.95  23405550.887  23798178.184  25274156.551  22616889.976  21839325.077  25949065.918             0             0             0             0             0             0             0             0 
 24974197.746   23423928.93  23816100.208  25293204.079  22635677.336  21857676.739  25967779.564             0             0             0             0             0             0             0             0 
 24992516.202   23442307.66  23834022.844  25312252.141  22654449.337  21876014.846             0             0             0             0             0             0             0             0             0 
 25010834.203   23460685.98  23851944.976  25331299.677  22673224.964  21894363.826             0             0             0             0             0             0             0             0             0 
 25029153.034  23479065.166  23869867.863  25350347.936  22692008.798  21912721.074  26023901.102             0             0             0             0             0             0             0             0 
 25047471.291  23497443.818  23887790.137  25369395.562  22710797.735  21931083.877    26042609.8             0             0             0             0             0             0             0             0 
 25065790.247  23515823.193  23905713.047  25388443.791   22729611.55  21949426.906  26061320.303             0             0             0             0             0             0             0             0 
 25084108.689   23534202.07   23923635.34  25407491.431  22748413.644  21967784.944             0             0             0             0             0             0             0             0             0 
 25102427.833   23552581.65  23941558.296  25426539.669  22767215.282  21986148.392             0             0             0             0             0             0             0             0             0 
 25120746.514  23570960.797  23959480.684  25445587.331  22786018.732  22004490.257             0             0             0             0             0             0             0             0             0 
 25139065.974  23589340.727  23977403.794   25464635.68  22804822.043  22022859.102             0             0             0             0             0             0             0             0             0 
 25157384.897  23607720.138  23995326.331   25483683.37  22823625.092  22041216.023             0             0             0             0             0             0             0             0             0 
 25175704.594  23626100.343  24013249.599  25502731.746  22842427.957  22059573.405   26173571.75             0             0             0             0             0             0             0             0 
 25194023.939  23644480.203  24031172.438  25521779.656  22861230.228  22077927.134  26192280.432             0             0             0             0             0             0             0             0 
 25212343.956  23662860.721  24049095.881  25540828.125  22880033.468  22096292.194             0             0             0             0             0             0             0             0             0 
 25230663.458  23681240.735  24067018.774  25559875.991  22898835.635   22114649.48  26229699.173             0             0             0             0             0             0             0             0 
 25248983.743  23699621.521  24084942.453  25578924.556  22917638.241  22133008.999  26248409.565             0             0             0             0             0             0             0             0 
 25267303.642  23718001.924  24102865.676  25597972.626  22936439.296  22151371.757             0             0             0             0             0             0             0             0             0 
 25285624.284  23736383.057  24120789.596  25617021.334   22955240.33  22169726.576             0             0             0             0             0             0             0             0             0 
 25303944.486  23754763.766  24138712.999  25636069.501  22974041.196  22188088.459             0             0             0             0             0             0             0             0             0 
 25322265.335  23773145.142  24156637.019  25655118.223  22992842.756  22206449.535             0             0             0             0             0             0             0             0             0 
