           G1           G28           R22           G19           R12            G7            G3            G6            R6           R24            R5           G26           G11           G16           R13           R14            G8           R23           G15           G22           G17            R7           R15           R17            R8           G32           G20            G9            R1           R16            G4           R18            R2           G12            G2            R9           G10           G23           G25           R19           R10           G13            G5            R4           G31           R11           G29           R20           G30           G21           R21           G18           G14 
 23279327.104  23018846.147  20549710.194   20816706.61  21372978.715  20556706.351  22685960.126  24374812.564  23578788.766  22344273.072  23476061.688  23065136.627   21491137.76  25303371.802  19129699.728  21133539.935   20455339.41   19268701.14             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23259143.167  23003774.397  20567114.602   20827135.22  21394111.056  20565686.556  22706021.837   24394386.14    23568143.1  22321634.866  23483528.076  23061900.555   21476601.28  25322359.203  19130688.883  21113838.249  20449261.502  19262604.352             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23238995.654  22988724.673  20584597.173  20837647.667  21415317.228  20574774.102  22726119.926  24413970.967  23557621.354  22299047.361  23491130.643  23058797.124  21462152.403  25341351.313   19131814.07  21094202.307  20443293.945  19256636.572             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23218883.147  22973698.743  20602156.924  20848245.118  21436596.377  20583967.872  22746250.015  24433567.712  23547222.275  22276512.177  23498867.018  23055823.212  21447792.899             0  19133077.236  21074634.303  20437437.155  19250797.403             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23198810.672  22958694.217  20619792.475  20858925.617  21457945.826  20593267.043   22766410.16  24453178.297  23536945.425  22254025.927  23506737.783  23052981.118  21433521.991             0  19134476.526  21055134.031  20431691.023   19245087.58             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23178777.821  22943713.426  20637502.405  20869689.231  21479366.535  20602672.811  22786602.795  24472799.169  23526801.149  22231591.436  23514744.792   23050266.35  21419339.423             0  19136013.123  21035701.744  20426056.726  19239505.641             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23158784.157  22928755.059  20655289.018   20880536.52  21500857.662  20612183.999  22806827.612  24492428.732  23516776.319   22209210.97  23522878.778  23047684.591  21405247.347             0  19137687.231  21016338.491  20420533.768  19234053.809             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23138831.045  22913820.231  20673148.119  20891465.913  21522420.355  20621800.478  22827080.814  24512068.792  23506877.296  22186882.006  23531149.915  23045233.698   21391245.57             0  19139498.514  20997045.225   20415122.78   19228729.34             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23118919.265  22898910.358  20691081.613  20902477.049  21544052.118  20631521.983  22847366.133  24531719.818  23497106.951  22164606.481   23539550.68  23042912.375  21377334.067             0  19141447.351  20977820.995  20409823.956  19223535.333             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23099047.407  22884022.646  20709088.638  20913570.634  21565751.346  20641348.583  22867682.953  24551381.989  23487465.817  22142382.521  23548085.307  23040724.788  21363513.531             0   19143533.56  20958668.603  20404637.474  19218469.613             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23079215.795  22869159.305  20727166.463  20924745.377  21587522.033   20651280.72   22888027.32  24571052.479  23477950.168  22120214.782  23556750.575  23038666.145  21349783.824             0  19145757.699  20939587.789  20399563.646  19213532.819             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23059427.109  22854319.253  20745316.011  20936000.455  21609359.284  20661315.831  22908399.122  24590730.036  23468559.804  22098101.207  23565545.223  23036740.034  21336146.255             0  19148119.309  20920579.052   20394603.68  19208724.362             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23039681.352  22839502.571  20763537.289  20947336.584  21631265.182  20671456.197  22928803.629  24610421.081  23459300.397   22076040.54  23574472.344  23034945.931  21322600.923             0  19150619.277  20901642.773  20389756.623   19204045.62             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
  23019979.57  22824711.753  20781827.087  20958752.781   21653239.67  20681700.583  22949236.272  24630117.554  23450170.629  22054038.772  23583527.226  23033280.392  21309148.513             0  19153257.004  20882782.063  20385023.591  19199495.142             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 23000321.239  22809943.821  20800187.211  20970248.631   21675276.91  20692047.837  22969696.117  24649824.941  23441169.172  22032090.987  23592709.271  23031747.364  21295789.138             0  19156032.108  20863994.496  20380404.811  19195074.102             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22980705.814  22795199.169  20818617.172  20981823.766  21697385.004  20702499.297  22990183.997  24669539.372   23432296.66  22010197.262  23602025.017  23030344.916  21282523.942             0  19158946.299  20845281.747  20375900.013   19190781.32             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22961137.751  22780481.267  20837113.809  20993477.417  21719555.093  20713054.066  23010699.478  24689264.471  23423557.679  21988361.647  23611470.141  23029074.201  21269353.146             0  19161998.268  20826644.639  20371509.819  19186617.971             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
 22941614.479    22765788.1  20855680.362  21005210.131  21741790.735  20723711.165  23031241.252  24708992.381  23414941.988  21966582.914  23621038.583  23027934.083  21256276.537             0  19165188.435  20808084.676   20367235.15  19182582.931             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0             0 
